Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1401,KHALID & CO. DAROGHAWALA,,,6865423,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1402,KHALID AND BROTHERS,"STEEL RE-ROLLING MILLS, RASHEEDPURA, FATEH GARH, ROAD",,6550304,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1403,KHALID NASEER STEEL MILLS,MAHMOOD BOOTI BUND ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1404,KHALID STEEL RE-ROLLING MILLS,PIR ROAD MAHMOOD BOOTI,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1405,KHALID STEEL RE-ROLLING MILLS,", LAKHODAIR ROAD, SHALIMAR TOWN",,NIL,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1406,KHALIL STEEL MILLS,SULTAN MAHMOOD ROAD SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1407,KHURRAM INDUSTRIES,BHANI ROAD SHADIPURA,,6545940,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1408,L.R.B. STEEL RE-ROLLING MILLS,", MOMINPURA, ROAD, DAROGHAWALA,",,6551619,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1409,LIAQAT STEEL RE-ROLLING MILL,"LAKHODAIR ROAD, SHALIMAR TOWN",,NIL,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1410,LION STEEL INDUSTRIES,(PVT) LTD. NOOR ROAD BADAMI BAGH,,7280893-7284551,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1411,LUCKY STEEL FOUNDRY WORKS (PVT) LTD,", MEHMOOD BOOTI BUND ROAD",,6855831-4,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
